Pin Pin_Name Bank
C15 VCCO_16_C15 16
D12 VCCO_16_D12 16
E9 VCCO_16_E9 16
G13 VCCO_16_G13 16
H10 VCCO_16_H10 16
AB18 VCCO_32_AB18 32
AC15 VCCO_32_AC15 32
AE19 VCCO_32_AE19 32
AF16 VCCO_32_AF16 32
W17 VCCO_32_W17 32
Y14 VCCO_32_Y14 32
AA11 VCCO_33_AA11 33
AB8 VCCO_33_AB8 33
AD12 VCCO_33_AD12 33
AE9 VCCO_33_AE9 33
V10 VCCO_33_V10 33
W7 VCCO_33_W7 33
AA1 VCCO_34_AA1 34
AC5 VCCO_34_AC5 34
AD2 VCCO_34_AD2 34
AF6 VCCO_34_AF6 34
U3 VCCO_34_U3 34
Y4 VCCO_34_Y4 34
